,Epoch,CLARIFY Train AUROC,CLARIFY Train AP,CLARIFY Test AP,CLARIFY Test ROC,CLARIFY Test AUPRC,CLARIFY Test ACC,CLARIFY Test MCC,CLARIFY test Recall,CLARIFY Test f1-score,CLARIFT Test Precision0.5,Test_Specificity_confusion
90,90,0.875998182,0.833438718,0.782952211,0.838977085,0.782658087,0.789675768,0.587541077,0.872866894,0.805829067,0.74835406,0.70648
91,91,0.877767982,0.837205554,0.784385802,0.838127119,0.784136745,0.795221843,0.605532094,0.906143345,0.815668203,0.741620112,0.6843
92,92,0.879221347,0.838893432,0.78619506,0.839203864,0.785968066,0.799914676,0.615776765,0.912969283,0.820237639,0.74460682,0.68686
93,93,0.880462085,0.840146613,0.788073996,0.839564963,0.787864377,0.798208191,0.610350474,0.90443686,0.817585808,0.745953554,0.69198
94,94,0.881973069,0.839631661,0.79064139,0.843459883,0.790420994,0.801194539,0.614122043,0.898464164,0.81881804,0.752142857,0.70392
95,95,0.885838795,0.843982237,0.794886058,0.847273265,0.794667089,0.803327645,0.617737241,0.897610922,0.820272904,0.755204594,0.70904
96,96,0.889141971,0.848785438,0.799692944,0.850950506,0.799479905,0.80503413,0.616825267,0.87883959,0.818434644,0.765799257,0.73123
97,97,0.890193276,0.848515071,0.801503641,0.855063105,0.801268011,0.800767918,0.604058557,0.846416382,0.809465524,0.775605942,0.75512
98,98,0.894110872,0.85453994,0.805418917,0.857541293,0.80518125,0.799914676,0.602069168,0.843003413,0.808179959,0.776119403,0.75683
99,99,0.897043939,0.858265646,0.807532392,0.859546267,0.807308745,0.806313993,0.616431882,0.861774744,0.816491512,0.775729647,0.75085
100,100,0.899541992,0.859180757,0.807066121,0.86022624,0.806854292,0.801194539,0.604420156,0.842150171,0.809016393,0.778391167,0.76024
101,101,0.899219141,0.855076868,0.804943275,0.861891228,0.804702026,0.811006826,0.625355405,0.862627986,0.820283976,0.781902552,0.75939
102,102,0.898787804,0.855176366,0.805601498,0.864242012,0.805352018,0.816979522,0.640026802,0.885665529,0.828742515,0.778694674,0.74829
103,103,0.898817282,0.85760395,0.806810877,0.865454534,0.806557963,0.813139932,0.629159293,0.860921502,0.821661238,0.785825545,0.76536
104,104,0.901103242,0.86128424,0.807571336,0.865484018,0.807325287,0.820819113,0.650056099,0.901023891,0.834123223,0.776470588,0.74061
105,105,0.902444378,0.861810076,0.806806575,0.865765035,0.806569794,0.825511945,0.658066061,0.898464164,0.837375746,0.784065525,0.75256
106,106,0.901965984,0.85729363,0.803680841,0.866129046,0.803408991,0.826365188,0.659136284,0.895904437,0.837654567,0.786516854,0.75683
107,107,0.900913208,0.851048261,0.801730585,0.866491602,0.801425181,0.827645051,0.662981093,0.903583618,0.839809675,0.784444444,0.75171
108,108,0.904330217,0.860603827,0.803674104,0.866758058,0.803391236,0.830204778,0.666493875,0.897610922,0.840927258,0.790977444,0.7628
109,109,0.907901099,0.86925887,0.809120872,0.869226054,0.808866192,0.831484642,0.675306312,0.92662116,0.84612388,0.778494624,0.73635
110,110,0.909140968,0.871248489,0.813379717,0.872256083,0.813040529,0.829778157,0.671829831,0.924914676,0.844565641,0.777060932,0.73464
111,111,0.910778419,0.873881451,0.819097815,0.875393132,0.818813287,0.829778157,0.669274605,0.914675768,0.843098702,0.781911014,0.74488
112,112,0.911567366,0.87433825,0.821047548,0.877551719,0.820789044,0.835324232,0.676986763,0.903583618,0.845846645,0.795045045,0.76706
113,113,0.911357011,0.872402165,0.819202545,0.877744645,0.818950645,0.841296928,0.690065559,0.914675768,0.852146264,0.797619048,0.76792
114,114,0.911321384,0.871535376,0.817332124,0.876325729,0.817087445,0.836177474,0.680611508,0.913822526,0.847980998,0.79098966,0.75853
115,115,0.911549786,0.872860778,0.814865819,0.873778378,0.814630602,0.838737201,0.687354437,0.923208191,0.85129819,0.789781022,0.75427
116,116,0.913158428,0.876329024,0.818776276,0.875238791,0.818557541,0.839163823,0.688948758,0.92662116,0.852098862,0.788671024,0.75171
117,117,0.914673355,0.879411533,0.829128427,0.880260326,0.828925923,0.839163823,0.684028718,0.903583618,0.848897796,0.800453515,0.77474
118,118,0.91242349,0.877150731,0.829742026,0.878575318,0.829546369,0.835324232,0.677646642,0.906996587,0.84633758,0.793283582,0.76365
119,119,0.914219425,0.879780453,0.833681094,0.880125278,0.833498083,0.836604096,0.679490287,0.90443686,0.84698362,0.796393689,0.76877
120,120,0.918564415,0.886418006,0.83681696,0.881962079,0.836644297,0.837883959,0.681678396,0.903583618,0.847878303,0.798642534,0.77218
121,121,0.917758356,0.885126397,0.827256981,0.876279863,0.827082193,0.837030717,0.678510896,0.894197952,0.845843422,0.80245023,0.77986
122,122,0.917803743,0.885521079,0.823461362,0.873919615,0.82328215,0.833191126,0.67032947,0.887372014,0.841764468,0.800615858,0.77901
123,123,0.920698442,0.887597377,0.831089109,0.880546803,0.830904334,0.833191126,0.6685823,0.873720137,0.839688397,0.808208366,0.79266
124,124,0.920877915,0.887284737,0.836750624,0.885332095,0.836568255,0.839163823,0.681280458,0.885665529,0.84631064,0.81030445,0.79266
125,125,0.922232085,0.89179399,0.841016463,0.885779829,0.84084723,0.83831058,0.679458774,0.883959044,0.845369237,0.810007819,0.79266
126,126,0.927305529,0.899751279,0.853062925,0.892971234,0.852910767,0.83831058,0.679458774,0.883959044,0.845369237,0.810007819,0.79266
127,127,0.925986384,0.897728678,0.847301559,0.8893981,0.847142453,0.837883959,0.679459216,0.889931741,0.845904298,0.806027821,0.78584
128,128,0.929007082,0.90102804,0.849097253,0.890964076,0.848938264,0.841296928,0.688102353,0.90443686,0.850722311,0.803030303,0.77816
129,129,0.932987243,0.906958993,0.85375228,0.893143776,0.853604865,0.837883959,0.677193236,0.870307167,0.842975207,0.817307692,0.80546
130,130,0.93314272,0.907464936,0.848705482,0.888385421,0.848555395,0.836604096,0.675622909,0.87883959,0.843225542,0.810385523,0.79437
131,131,0.926522665,0.892313375,0.844825162,0.890706357,0.844655791,0.837030717,0.674282371,0.849829352,0.839090143,0.828618968,0.82423
132,132,0.924034638,0.888897897,0.843836733,0.890396947,0.843669161,0.842576792,0.686560802,0.874573379,0.847457627,0.821972735,0.81058
133,133,0.922501329,0.886472879,0.843100507,0.889823993,0.842932467,0.841723549,0.685703485,0.88225256,0.847888479,0.816101026,0.80119
134,134,0.925714133,0.894908586,0.845950314,0.889518224,0.84579319,0.839163823,0.684338842,0.905290102,0.849139656,0.799547852,0.77304
135,135,0.928551614,0.901377833,0.850097044,0.890941508,0.849947356,0.839163823,0.683579483,0.901023891,0.848533548,0.801822323,0.7773
136,136,0.930643196,0.903026321,0.852316321,0.893456097,0.852162696,0.842150171,0.689379037,0.902730375,0.851166533,0.805175038,0.78157
137,137,0.930996929,0.902056321,0.852233391,0.893788076,0.852073168,0.844283276,0.691346672,0.889078498,0.850959575,0.815974941,0.79949
138,138,0.931640559,0.903836276,0.851385131,0.893082622,0.851221214,0.841296928,0.684895361,0.88225256,0.847540984,0.815457413,0.80034
139,139,0.932080185,0.905495493,0.850445669,0.8922403,0.85028174,0.843003413,0.695006787,0.923208191,0.854660348,0.795588235,0.7628
140,140,0.9328317,0.905735926,0.852544863,0.894169559,0.852384156,0.843856655,0.699248237,0.934300341,0.856807512,0.791184971,0.75341
141,141,0.933303276,0.904866327,0.854665442,0.896869795,0.854500128,0.84556314,0.699804453,0.924061433,0.856803797,0.798672566,0.76706
142,142,0.934091622,0.905474328,0.857632725,0.899182358,0.857470304,0.847269625,0.701786726,0.91894198,0.857484076,0.803731343,0.7756
143,143,0.935001621,0.907639461,0.861517491,0.901082861,0.86136002,0.84940273,0.701736111,0.895051195,0.855977152,0.820172009,0.80375
144,144,0.935886086,0.909809795,0.864547647,0.902421694,0.864395742,0.846416382,0.69479409,0.883959044,0.851973684,0.822222222,0.80887
145,145,0.937763971,0.912999923,0.867548955,0.904495102,0.867401605,0.849829352,0.702017745,0.890784983,0.855737705,0.823343849,0.80887
146,146,0.940136426,0.916644424,0.870744214,0.906681353,0.870603143,0.851109215,0.703819183,0.884812287,0.855963681,0.828936851,0.81741
147,147,0.941444542,0.918792677,0.872714637,0.908079884,0.872579174,0.842576792,0.685155828,0.841296928,0.842375053,0.843455945,0.84386
148,148,0.942034765,0.920001405,0.874317895,0.908730737,0.874188289,0.848122867,0.696830398,0.868600683,0.851170569,0.83442623,0.82765
149,149,0.943436528,0.921685295,0.877024784,0.910790312,0.876896326,0.846843003,0.693716562,0.851535836,0.847558386,0.843617921,0.84215
150,150,0.94416565,0.922348812,0.878321042,0.91241453,0.87818736,0.846416382,0.692848906,0.849829352,0.846938776,0.844067797,0.843
151,151,0.944997777,0.923531286,0.879243279,0.913074119,0.879109941,0.846416382,0.692857986,0.850682594,0.847068819,0.843485618,0.84215
